current_time,dataset,variant,phase,alpha,beta,start_unix,end_unix,seconds
2025-10-27 22:47:07,BEPRO,BEPRO_TFR_a3.00_b1.00_bin10,tda,3.0,1.0,1761623224.257497,1761623227.595440,3.339024
2025-10-27 22:47:29,BEPRO,BEPRO_TFR_a3.00_b1.00_bin10,rnn_labeling,3.0,1.0,1761623227.595896,1761623249.145019,21.556181
2025-10-27 22:58:35,ADX,ADX_TFR_a3.00_b1.00,tda,3.0,1.0,1761623811.812306,1761623915.319217,103.540360
2025-10-27 23:00:53,ADX,ADX_TFR_a3.00_b1.00,rnn_labeling,3.0,1.0,1761623915.320972,1761624053.536451,138.260174
2025-10-27 23:02:08,ADX,ADX_TFR_a3.00_b1.00_bin1,tda,3.0,1.0,1761624053.657922,1761624128.152355,74.518521
2025-10-27 23:03:20,ADX,ADX_TFR_a3.00_b1.00_bin1,rnn_labeling,3.0,1.0,1761624128.153570,1761624200.891498,72.761428
2025-10-27 23:04:22,ADX,ADX_TFR_a3.00_b1.00_bin2,tda,3.0,1.0,1761624200.969190,1761624262.087958,61.138509
2025-10-27 23:05:14,ADX,ADX_TFR_a3.00_b1.00_bin2,rnn_labeling,3.0,1.0,1761624262.089769,1761624314.672347,52.556680
2025-10-27 23:05:46,ADX,ADX_TFR_a3.00_b1.00_bin3,tda,3.0,1.0,1761624314.714005,1761624346.096313,31.356029
2025-10-27 23:06:20,ADX,ADX_TFR_a3.00_b1.00_bin3,rnn_labeling,3.0,1.0,1761624346.097182,1761624380.633323,34.507213
2025-10-27 23:06:41,ADX,ADX_TFR_a3.00_b1.00_bin4,tda,3.0,1.0,1761624380.673990,1761624401.708123,21.016513
2025-10-27 23:07:10,ADX,ADX_TFR_a3.00_b1.00_bin4,rnn_labeling,3.0,1.0,1761624401.708826,1761624430.268103,28.535352
2025-10-27 23:07:36,ADX,ADX_TFR_a3.00_b1.00_bin5,tda,3.0,1.0,1761624430.302557,1761624456.797697,26.472949
2025-10-27 23:08:06,ADX,ADX_TFR_a3.00_b1.00_bin5,rnn_labeling,3.0,1.0,1761624456.798274,1761624486.179941,29.357052
2025-10-27 23:08:24,ADX,ADX_TFR_a3.00_b1.00_bin6,tda,3.0,1.0,1761624486.209011,1761624504.558342,18.333959
2025-10-27 23:08:50,ADX,ADX_TFR_a3.00_b1.00_bin6,rnn_labeling,3.0,1.0,1761624504.558947,1761624530.475127,25.894467
2025-10-27 23:08:59,ADX,ADX_TFR_a3.00_b1.00_bin7,tda,3.0,1.0,1761624530.500502,1761624539.229676,8.721851
2025-10-27 23:09:22,ADX,ADX_TFR_a3.00_b1.00_bin7,rnn_labeling,3.0,1.0,1761624539.230206,1761624562.454390,23.204717
2025-10-27 23:09:29,ADX,ADX_TFR_a3.00_b1.00_bin8,tda,3.0,1.0,1761624562.479613,1761624569.830473,7.344691
2025-10-27 23:09:51,ADX,ADX_TFR_a3.00_b1.00_bin8,rnn_labeling,3.0,1.0,1761624569.830976,1761624591.071880,21.238239
2025-10-27 23:09:54,ADX,ADX_TFR_a3.00_b1.00_bin9,tda,3.0,1.0,1761624591.094546,1761624594.112129,3.018526
2025-10-27 23:10:13,ADX,ADX_TFR_a3.00_b1.00_bin9,rnn_labeling,3.0,1.0,1761624594.112764,1761624613.107938,19.001192
2025-10-27 23:10:15,ADX,ADX_TFR_a3.00_b1.00_bin10,tda,3.0,1.0,1761624613.132783,1761624615.503998,2.371951
2025-10-27 23:10:29,ADX,ADX_TFR_a3.00_b1.00_bin10,rnn_labeling,3.0,1.0,1761624615.504687,1761624629.375777,13.875478
2025-10-28 06:33:23,BAG,BAG_TFR_a3.00_b1.00,tda,3.0,1.0,1761651139.796718,1761651203.270413,63.441051
2025-10-28 06:34:55,BAG,BAG_TFR_a3.00_b1.00,rnn_labeling,3.0,1.0,1761651203.272755,1761651295.834699,92.581231
2025-10-28 06:35:29,BAG,BAG_TFR_a3.00_b1.00_bin1,tda,3.0,1.0,1761651295.959657,1761651329.083597,33.130834
2025-10-28 06:36:18,BAG,BAG_TFR_a3.00_b1.00_bin1,rnn_labeling,3.0,1.0,1761651329.085660,1761651378.437200,49.361813
2025-10-28 06:36:36,BAG,BAG_TFR_a3.00_b1.00_bin2,tda,3.0,1.0,1761651378.514409,1761651396.151654,17.640908
2025-10-28 06:37:04,BAG,BAG_TFR_a3.00_b1.00_bin2,rnn_labeling,3.0,1.0,1761651396.153388,1761651424.407999,28.260478
2025-10-28 06:37:13,BAG,BAG_TFR_a3.00_b1.00_bin3,tda,3.0,1.0,1761651424.451336,1761651433.530845,9.081385
2025-10-28 06:37:27,BAG,BAG_TFR_a3.00_b1.00_bin3,rnn_labeling,3.0,1.0,1761651433.531533,1761651447.314647,13.785956
2025-10-28 06:37:36,BAG,BAG_TFR_a3.00_b1.00_bin4,tda,3.0,1.0,1761651447.349996,1761651456.123835,8.775652
2025-10-28 06:37:45,BAG,BAG_TFR_a3.00_b1.00_bin4,rnn_labeling,3.0,1.0,1761651456.124211,1761651465.728732,9.606496
2025-10-28 06:37:57,BAG,BAG_TFR_a3.00_b1.00_bin5,tda,3.0,1.0,1761651465.764197,1761651477.784891,12.023183
2025-10-28 06:38:08,BAG,BAG_TFR_a3.00_b1.00_bin5,rnn_labeling,3.0,1.0,1761651477.785328,1761651488.397652,10.614506
2025-10-28 06:38:18,BAG,BAG_TFR_a3.00_b1.00_bin6,tda,3.0,1.0,1761651488.432491,1761651498.612739,10.182356
2025-10-28 06:38:26,BAG,BAG_TFR_a3.00_b1.00_bin6,rnn_labeling,3.0,1.0,1761651498.614722,1761651506.670771,8.057635
2025-10-28 06:38:33,BAG,BAG_TFR_a3.00_b1.00_bin7,tda,3.0,1.0,1761651506.697526,1761651513.330599,6.634438
2025-10-28 06:38:40,BAG,BAG_TFR_a3.00_b1.00_bin7,rnn_labeling,3.0,1.0,1761651513.331211,1761651520.457208,7.127458
2025-10-28 06:38:45,BAG,BAG_TFR_a3.00_b1.00_bin8,tda,3.0,1.0,1761651520.484528,1761651525.907995,5.424580
2025-10-28 06:38:52,BAG,BAG_TFR_a3.00_b1.00_bin8,rnn_labeling,3.0,1.0,1761651525.908387,1761651532.722543,6.815550
2025-10-28 06:38:53,BAG,BAG_TFR_a3.00_b1.00_bin9,tda,3.0,1.0,1761651532.746606,1761651533.615174,0.868731
2025-10-28 06:38:56,BAG,BAG_TFR_a3.00_b1.00_bin9,rnn_labeling,3.0,1.0,1761651533.615520,1761651536.690985,3.076082
2025-10-28 06:38:57,BAG,BAG_TFR_a3.00_b1.00_bin10,tda,3.0,1.0,1761651536.710147,1761651537.662018,0.952051
2025-10-28 06:39:02,BAG,BAG_TFR_a3.00_b1.00_bin10,rnn_labeling,3.0,1.0,1761651537.662322,1761651542.791588,5.130307
2025-10-28 12:31:18,DERC,DERC_TFR_a3.00_b1.00,tda,3.0,1.0,1761672569.954492,1761672678.043886,108.049414
2025-10-28 12:33:18,DERC,DERC_TFR_a3.00_b1.00,rnn_labeling,3.0,1.0,1761672678.045504,1761672798.358934,120.316837
2025-10-28 12:34:23,DERC,DERC_TFR_a3.00_b1.00_bin1,tda,3.0,1.0,1761672798.472743,1761672863.608644,65.145613
2025-10-28 12:35:28,DERC,DERC_TFR_a3.00_b1.00_bin1,rnn_labeling,3.0,1.0,1761672863.609922,1761672928.164758,64.564450
2025-10-28 12:36:22,DERC,DERC_TFR_a3.00_b1.00_bin2,tda,3.0,1.0,1761672928.239445,1761672982.075910,53.844490
2025-10-28 12:37:05,DERC,DERC_TFR_a3.00_b1.00_bin2,rnn_labeling,3.0,1.0,1761672982.077632,1761673025.275722,43.204521
2025-10-28 12:37:41,DERC,DERC_TFR_a3.00_b1.00_bin3,tda,3.0,1.0,1761673025.322655,1761673061.252363,35.935050
2025-10-28 12:38:08,DERC,DERC_TFR_a3.00_b1.00_bin3,rnn_labeling,3.0,1.0,1761673061.252999,1761673088.981950,27.733071
2025-10-28 12:38:30,DERC,DERC_TFR_a3.00_b1.00_bin4,tda,3.0,1.0,1761673089.021363,1761673110.214489,21.196280
2025-10-28 12:38:51,DERC,DERC_TFR_a3.00_b1.00_bin4,rnn_labeling,3.0,1.0,1761673110.215092,1761673131.921026,21.709155
2025-10-28 12:39:22,DERC,DERC_TFR_a3.00_b1.00_bin5,tda,3.0,1.0,1761673131.955874,1761673162.338544,30.387199
2025-10-28 12:39:44,DERC,DERC_TFR_a3.00_b1.00_bin5,rnn_labeling,3.0,1.0,1761673162.339068,1761673184.403449,22.067656
2025-10-28 12:40:00,DERC,DERC_TFR_a3.00_b1.00_bin6,tda,3.0,1.0,1761673184.435722,1761673200.746091,16.312791
2025-10-28 12:40:19,DERC,DERC_TFR_a3.00_b1.00_bin6,rnn_labeling,3.0,1.0,1761673200.746918,1761673219.685363,18.941251
2025-10-28 12:40:27,DERC,DERC_TFR_a3.00_b1.00_bin7,tda,3.0,1.0,1761673219.710502,1761673227.241745,7.532351
2025-10-28 12:40:44,DERC,DERC_TFR_a3.00_b1.00_bin7,rnn_labeling,3.0,1.0,1761673227.242213,1761673244.576711,17.337064
2025-10-28 12:40:52,DERC,DERC_TFR_a3.00_b1.00_bin8,tda,3.0,1.0,1761673244.599962,1761673252.386957,7.788142
2025-10-28 12:41:09,DERC,DERC_TFR_a3.00_b1.00_bin8,rnn_labeling,3.0,1.0,1761673252.387555,1761673269.754120,17.369136
2025-10-28 12:41:14,DERC,DERC_TFR_a3.00_b1.00_bin9,tda,3.0,1.0,1761673269.773094,1761673274.366945,4.594520
2025-10-28 12:41:30,DERC,DERC_TFR_a3.00_b1.00_bin9,rnn_labeling,3.0,1.0,1761673274.367542,1761673290.322292,15.957110
2025-10-28 12:41:32,DERC,DERC_TFR_a3.00_b1.00_bin10,tda,3.0,1.0,1761673290.345320,1761673292.898505,2.553548
2025-10-28 12:41:48,DERC,DERC_TFR_a3.00_b1.00_bin10,rnn_labeling,3.0,1.0,1761673292.898922,1761673308.497278,15.600660
