current_time,dataset,variant,phase,alpha,beta,start_unix,end_unix,seconds
2025-10-25 13:21:14,BEPRO,BEPRO_TFR_a3.00_b1.00,tda,3.0,1.0,1761416358.811215,1761416474.948312,116.137333
2025-10-25 13:23:39,BEPRO,BEPRO_TFR_a3.00_b1.00,rnn_labeling,3.0,1.0,1761416474.950229,1761416619.442516,144.492576
2025-10-25 13:24:56,BEPRO,BEPRO_TFR_a3.00_b1.00_bin1,tda,3.0,1.0,1761416619.573669,1761416696.253242,76.679722
2025-10-25 13:26:16,BEPRO,BEPRO_TFR_a3.00_b1.00_bin1,rnn_labeling,3.0,1.0,1761416696.255911,1761416776.443402,80.187636
2025-10-25 13:27:11,BEPRO,BEPRO_TFR_a3.00_b1.00_bin2,tda,3.0,1.0,1761416776.523510,1761416831.623861,55.100455
2025-10-25 13:28:05,BEPRO,BEPRO_TFR_a3.00_b1.00_bin2,rnn_labeling,3.0,1.0,1761416831.625070,1761416885.709913,54.084936
2025-10-25 13:28:39,BEPRO,BEPRO_TFR_a3.00_b1.00_bin3,tda,3.0,1.0,1761416885.754765,1761416919.582493,33.827784
2025-10-25 13:29:15,BEPRO,BEPRO_TFR_a3.00_b1.00_bin3,rnn_labeling,3.0,1.0,1761416919.584050,1761416955.320946,35.736947
2025-10-25 13:29:38,BEPRO,BEPRO_TFR_a3.00_b1.00_bin4,tda,3.0,1.0,1761416955.360964,1761416978.778401,23.417472
2025-10-25 13:30:05,BEPRO,BEPRO_TFR_a3.00_b1.00_bin4,rnn_labeling,3.0,1.0,1761416978.779497,1761417005.942537,27.163072
2025-10-25 13:30:40,BEPRO,BEPRO_TFR_a3.00_b1.00_bin5,tda,3.0,1.0,1761417005.990137,1761417040.429835,34.439754
2025-10-25 13:31:09,BEPRO,BEPRO_TFR_a3.00_b1.00_bin5,rnn_labeling,3.0,1.0,1761417040.430860,1761417069.507606,29.076783
2025-10-25 13:31:22,BEPRO,BEPRO_TFR_a3.00_b1.00_bin6,tda,3.0,1.0,1761417069.539294,1761417082.704482,13.165201
2025-10-25 13:31:47,BEPRO,BEPRO_TFR_a3.00_b1.00_bin6,rnn_labeling,3.0,1.0,1761417082.705249,1761417107.955878,25.250655
2025-10-25 13:31:54,BEPRO,BEPRO_TFR_a3.00_b1.00_bin7,tda,3.0,1.0,1761417107.981397,1761417114.732236,6.750834
2025-10-25 13:32:17,BEPRO,BEPRO_TFR_a3.00_b1.00_bin7,rnn_labeling,3.0,1.0,1761417114.732880,1761417137.241881,22.509024
2025-10-25 13:32:24,BEPRO,BEPRO_TFR_a3.00_b1.00_bin8,tda,3.0,1.0,1761417137.269029,1761417144.132271,6.863239
2025-10-25 13:32:46,BEPRO,BEPRO_TFR_a3.00_b1.00_bin8,rnn_labeling,3.0,1.0,1761417144.132894,1761417166.459547,22.326675
2025-10-25 13:32:49,BEPRO,BEPRO_TFR_a3.00_b1.00_bin9,tda,3.0,1.0,1761417166.482634,1761417169.381387,2.898743
2025-10-25 13:33:10,BEPRO,BEPRO_TFR_a3.00_b1.00_bin9,rnn_labeling,3.0,1.0,1761417169.382272,1761417190.583041,21.200783
2025-10-25 13:33:13,BEPRO,BEPRO_TFR_a3.00_b1.00_bin10,tda,3.0,1.0,1761417190.605331,1761417193.773084,3.167742
2025-10-25 13:33:34,BEPRO,BEPRO_TFR_a3.00_b1.00_bin10,rnn_labeling,3.0,1.0,1761417193.773524,1761417214.420464,20.646958
2025-10-27 22:35:02,BEPRO,BEPRO_TFR_a3.00_b1.00,tda,3.0,1.0,1761622385.994268,1761622502.998753,116.903057
2025-10-27 22:37:24,BEPRO,BEPRO_TFR_a3.00_b1.00,rnn_labeling,3.0,1.0,1761622503.000535,1761622644.208197,141.221808
2025-10-27 22:38:42,BEPRO,BEPRO_TFR_a3.00_b1.00_bin1,tda,3.0,1.0,1761622644.329429,1761622722.407391,78.103616
2025-10-27 22:40:02,BEPRO,BEPRO_TFR_a3.00_b1.00_bin1,rnn_labeling,3.0,1.0,1761622722.409932,1761622802.591255,80.207649
2025-10-27 22:40:59,BEPRO,BEPRO_TFR_a3.00_b1.00_bin2,tda,3.0,1.0,1761622802.667711,1761622859.838627,57.189702
2025-10-27 22:41:53,BEPRO,BEPRO_TFR_a3.00_b1.00_bin2,rnn_labeling,3.0,1.0,1761622859.839773,1761622913.553534,53.731406
2025-10-27 22:42:27,BEPRO,BEPRO_TFR_a3.00_b1.00_bin3,tda,3.0,1.0,1761622913.598831,1761622947.381367,33.793632
2025-10-27 22:43:02,BEPRO,BEPRO_TFR_a3.00_b1.00_bin3,rnn_labeling,3.0,1.0,1761622947.382262,1761622982.850633,35.480016
2025-10-27 22:43:26,BEPRO,BEPRO_TFR_a3.00_b1.00_bin4,tda,3.0,1.0,1761622982.889770,1761623006.796118,23.914197
2025-10-27 22:43:54,BEPRO,BEPRO_TFR_a3.00_b1.00_bin4,rnn_labeling,3.0,1.0,1761623006.797158,1761623034.807341,28.019370
2025-10-27 22:44:30,BEPRO,BEPRO_TFR_a3.00_b1.00_bin5,tda,3.0,1.0,1761623034.843993,1761623070.444944,35.612646
2025-10-27 22:45:00,BEPRO,BEPRO_TFR_a3.00_b1.00_bin5,rnn_labeling,3.0,1.0,1761623070.445695,1761623100.442652,30.006798
2025-10-27 22:45:13,BEPRO,BEPRO_TFR_a3.00_b1.00_bin6,tda,3.0,1.0,1761623100.473215,1761623113.877288,13.408463
2025-10-27 22:45:39,BEPRO,BEPRO_TFR_a3.00_b1.00_bin6,rnn_labeling,3.0,1.0,1761623113.878008,1761623139.402918,25.533267
2025-10-27 22:45:46,BEPRO,BEPRO_TFR_a3.00_b1.00_bin7,tda,3.0,1.0,1761623139.432033,1761623146.252235,6.822426
2025-10-27 22:46:09,BEPRO,BEPRO_TFR_a3.00_b1.00_bin7,rnn_labeling,3.0,1.0,1761623146.252861,1761623169.508857,23.263615
2025-10-27 22:46:16,BEPRO,BEPRO_TFR_a3.00_b1.00_bin8,tda,3.0,1.0,1761623169.534644,1761623176.198910,6.666440
2025-10-27 22:46:39,BEPRO,BEPRO_TFR_a3.00_b1.00_bin8,rnn_labeling,3.0,1.0,1761623176.199417,1761623199.254157,23.062294
2025-10-27 22:46:42,BEPRO,BEPRO_TFR_a3.00_b1.00_bin9,tda,3.0,1.0,1761623199.280087,1761623202.140242,2.861078
2025-10-27 22:47:04,BEPRO,BEPRO_TFR_a3.00_b1.00_bin9,rnn_labeling,3.0,1.0,1761623202.141062,1761623224.235610,22.101786
