dataset,variant,start_datetime,end_datetime,total_duration_sec
BAG,BAG_TFR_a3.00_b1.00_bin7,2025-10-28 11:38:26.697525978,2025-10-28 11:38:40.457207918,13.76
BAG,BAG_TFR_a3.00_b1.00_bin8,2025-10-28 11:38:40.484528065,2025-10-28 11:38:52.722543001,12.23
BAG,BAG_TFR_a3.00_b1.00_bin9,2025-10-28 11:38:52.746606112,2025-10-28 11:38:56.690984964,3.95
BEPRO,BEPRO_TFR_a3.00_b1.00,2025-10-25 18:19:18.811214924,2025-10-28 03:37:24.208197117,518.84
BEPRO,BEPRO_TFR_a3.00_b1.00_bin1,2025-10-25 18:23:39.573668957,2025-10-28 03:40:02.591254950,315.13
BEPRO,BEPRO_TFR_a3.00_b1.00_bin10,2025-10-25 18:33:10.605330944,2025-10-28 03:47:29.145019054,48.71
BEPRO,BEPRO_TFR_a3.00_b1.00_bin2,2025-10-25 18:26:16.523509978,2025-10-28 03:41:53.553534031,220.06
BEPRO,BEPRO_TFR_a3.00_b1.00_bin3,2025-10-25 18:28:05.754765034,2025-10-28 03:43:02.850632906,138.82
BEPRO,BEPRO_TFR_a3.00_b1.00_bin4,2025-10-25 18:29:15.360964060,2025-10-28 03:43:54.807341099,102.5
BEPRO,BEPRO_TFR_a3.00_b1.00_bin5,2025-10-25 18:30:05.990137100,2025-10-28 03:45:00.442651987,129.12
BEPRO,BEPRO_TFR_a3.00_b1.00_bin6,2025-10-25 18:31:09.539294004,2025-10-28 03:45:39.402918100,77.34
BEPRO,BEPRO_TFR_a3.00_b1.00_bin7,2025-10-25 18:31:47.981396914,2025-10-28 03:46:09.508857012,59.34
BEPRO,BEPRO_TFR_a3.00_b1.00_bin8,2025-10-25 18:32:17.269028902,2025-10-28 03:46:39.254157066,58.9
BEPRO,BEPRO_TFR_a3.00_b1.00_bin9,2025-10-25 18:32:46.482634068,2025-10-28 03:47:04.235610008,49.05
DERC,DERC_TFR_a3.00_b1.00,2025-10-28 17:29:29.954492092,2025-10-28 17:33:18.358933926,228.4
DERC,DERC_TFR_a3.00_b1.00_bin1,2025-10-28 17:33:18.472743034,2025-10-28 17:35:28.164757967,129.69
DERC,DERC_TFR_a3.00_b1.00_bin10,2025-10-28 17:41:30.345319986,2025-10-28 17:41:48.497277975,18.15
DERC,DERC_TFR_a3.00_b1.00_bin2,2025-10-28 17:35:28.239444971,2025-10-28 17:37:05.275722027,97.04
DERC,DERC_TFR_a3.00_b1.00_bin3,2025-10-28 17:37:05.322654963,2025-10-28 17:38:08.981950045,63.66
DERC,DERC_TFR_a3.00_b1.00_bin4,2025-10-28 17:38:09.021363020,2025-10-28 17:38:51.921025991,42.900000000000006
DERC,DERC_TFR_a3.00_b1.00_bin5,2025-10-28 17:38:51.955873966,2025-10-28 17:39:44.403449059,52.44
DERC,DERC_TFR_a3.00_b1.00_bin6,2025-10-28 17:39:44.435722113,2025-10-28 17:40:19.685363054,35.25
DERC,DERC_TFR_a3.00_b1.00_bin7,2025-10-28 17:40:19.710501909,2025-10-28 17:40:44.576710939,24.86
DERC,DERC_TFR_a3.00_b1.00_bin8,2025-10-28 17:40:44.599961996,2025-10-28 17:41:09.754120111,25.16
DERC,DERC_TFR_a3.00_b1.00_bin9,2025-10-28 17:41:09.773093939,2025-10-28 17:41:30.322292089,20.54
