dataset,variant,start_datetime,end_datetime,total_duration_sec
ADX,ADX_TFR_a3.00_b1.00,2025-10-28 03:56:51.812305927,2025-10-28 04:00:53.536451101,241.73000000000002
ADX,ADX_TFR_a3.00_b1.00_bin1,2025-10-28 04:00:53.657922029,2025-10-28 04:03:20.891498089,147.23
ADX,ADX_TFR_a3.00_b1.00_bin10,2025-10-28 04:10:13.132782935,2025-10-28 04:10:29.375777006,16.24
ADX,ADX_TFR_a3.00_b1.00_bin2,2025-10-28 04:03:20.969189882,2025-10-28 04:05:14.672347069,113.69999999999999
ADX,ADX_TFR_a3.00_b1.00_bin3,2025-10-28 04:05:14.714004993,2025-10-28 04:06:20.633322954,65.92
ADX,ADX_TFR_a3.00_b1.00_bin4,2025-10-28 04:06:20.673990011,2025-10-28 04:07:10.268102884,49.59
ADX,ADX_TFR_a3.00_b1.00_bin5,2025-10-28 04:07:10.302556992,2025-10-28 04:08:06.179940939,55.879999999999995
ADX,ADX_TFR_a3.00_b1.00_bin6,2025-10-28 04:08:06.209011078,2025-10-28 04:08:50.475126982,44.27
ADX,ADX_TFR_a3.00_b1.00_bin7,2025-10-28 04:08:50.500502110,2025-10-28 04:09:22.454390049,31.95
ADX,ADX_TFR_a3.00_b1.00_bin8,2025-10-28 04:09:22.479613066,2025-10-28 04:09:51.071880102,28.589999999999996
ADX,ADX_TFR_a3.00_b1.00_bin9,2025-10-28 04:09:51.094546080,2025-10-28 04:10:13.107938051,22.02
BAG,BAG_TFR_a3.00_b1.00,2025-10-28 11:32:19.796717882,2025-10-28 11:34:55.834698915,156.03
BAG,BAG_TFR_a3.00_b1.00_bin1,2025-10-28 11:34:55.959656954,2025-10-28 11:36:18.437200069,82.47
BAG,BAG_TFR_a3.00_b1.00_bin10,2025-10-28 11:38:56.710146904,2025-10-28 11:39:02.791588068,6.08
BAG,BAG_TFR_a3.00_b1.00_bin2,2025-10-28 11:36:18.514409065,2025-10-28 11:37:04.407999039,45.89
BAG,BAG_TFR_a3.00_b1.00_bin3,2025-10-28 11:37:04.451335907,2025-10-28 11:37:27.314646959,22.86
BAG,BAG_TFR_a3.00_b1.00_bin4,2025-10-28 11:37:27.349996090,2025-10-28 11:37:45.728732109,18.369999999999997
BAG,BAG_TFR_a3.00_b1.00_bin5,2025-10-28 11:37:45.764197111,2025-10-28 11:38:08.397651911,22.63
BAG,BAG_TFR_a3.00_b1.00_bin6,2025-10-28 11:38:08.432491064,2025-10-28 11:38:26.670770884,18.240000000000002
