from,to,timestamp,value,Temporal Ricci value,bin_edge,bin_pair
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1683626747,0.9615384615384615,-11862.847046643194,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1691566487,0.9794319294809012,-9566.005981345454,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1691643095,0.9775171065493647,-9558.487995578362,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1691646011,0.9881422924901185,-9611.45945990018,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1691706203,0.9615384615384615,-9475.9142602219,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1691779823,0.987166831194472,-9598.200252156616,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1691837219,0.9881422924901185,-9596.729668555852,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1691852039,0.9970089730807579,-9639.056045425656,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0xbaa2af56ab2418c219b2a28f219f5d0d58a04f06,1696328903,0.9661835748792271,-11751.800516597606,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1673370191,0.9999999614303204,-8441.506088373837,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1677334187,0.9813542688910698,-9265.991114778639,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1677422507,0.9144947416552356,-8940.75886476477,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1678813199,0.9259259259259258,-10923.716105490625,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1691424455,0.9867205958150497,-12137.306139085591,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1691566511,0.9760858955588092,-12087.082606769747,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1691613443,0.9881422924901185,-12166.77982169768,5,4
0x9b192cb65b13f0b518b4685895f99583f348198f,0x690680bb5161905b64a9ceb9c979d866736c1742,1691643119,0.9694619486185166,-12050.497759818783,5,4
