dataset,task,start_iso,end_iso,seconds,status,error
BEPRO_TFR_a3.00_b1.00_bin10,task1,2025-10-13T21:56:53.750755,2025-10-13T21:56:53.750905,0.000140,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin10.csv'
BEPRO_TFR_a3.00_b1.00_bin10,task2,2025-10-13T21:56:53.750944,2025-10-13T21:56:53.751066,0.000114,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin10.csv'
BEPRO_TFR_a3.00_b1.00_bin10,task3,2025-10-13T21:56:53.751102,2025-10-13T21:56:53.751222,0.000112,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin10.csv'
BEPRO_TFR_a3.00_b1.00,task1,2025-10-13T22:05:05.854152,2025-10-13T22:05:05.854912,0.000747,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00.csv'
BEPRO_TFR_a3.00_b1.00,task2,2025-10-13T22:05:05.855049,2025-10-13T22:05:05.855238,0.000179,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00.csv'
BEPRO_TFR_a3.00_b1.00,task3,2025-10-13T22:05:05.855287,2025-10-13T22:05:05.855425,0.000129,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00.csv'
BEPRO_TFR_a3.00_b1.00_bin1,task1,2025-10-13T22:05:05.855471,2025-10-13T22:05:05.855624,0.000145,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin1.csv'
BEPRO_TFR_a3.00_b1.00_bin1,task2,2025-10-13T22:05:05.855666,2025-10-13T22:05:05.855798,0.000125,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin1.csv'
BEPRO_TFR_a3.00_b1.00_bin1,task3,2025-10-13T22:05:05.855840,2025-10-13T22:05:05.855968,0.000120,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin1.csv'
BEPRO_TFR_a3.00_b1.00_bin2,task1,2025-10-13T22:05:05.856013,2025-10-13T22:05:05.856172,0.000148,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin2.csv'
BEPRO_TFR_a3.00_b1.00_bin2,task2,2025-10-13T22:05:05.856219,2025-10-13T22:05:05.856364,0.000135,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin2.csv'
BEPRO_TFR_a3.00_b1.00_bin2,task3,2025-10-13T22:05:05.856406,2025-10-13T22:05:05.856540,0.000125,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin2.csv'
BEPRO_TFR_a3.00_b1.00_bin3,task1,2025-10-13T22:05:05.856585,2025-10-13T22:05:05.856724,0.000130,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin3.csv'
BEPRO_TFR_a3.00_b1.00_bin3,task2,2025-10-13T22:05:05.856766,2025-10-13T22:05:05.856898,0.000123,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin3.csv'
BEPRO_TFR_a3.00_b1.00_bin3,task3,2025-10-13T22:05:05.856976,2025-10-13T22:05:05.857113,0.000128,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin3.csv'
BEPRO_TFR_a3.00_b1.00_bin4,task1,2025-10-13T22:05:05.857160,2025-10-13T22:05:05.857306,0.000137,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin4.csv'
BEPRO_TFR_a3.00_b1.00_bin4,task2,2025-10-13T22:05:05.857348,2025-10-13T22:05:05.857479,0.000124,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin4.csv'
BEPRO_TFR_a3.00_b1.00_bin4,task3,2025-10-13T22:05:05.857520,2025-10-13T22:05:05.857656,0.000128,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin4.csv'
BEPRO_TFR_a3.00_b1.00_bin5,task1,2025-10-13T22:05:05.857698,2025-10-13T22:05:05.857831,0.000126,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin5.csv'
BEPRO_TFR_a3.00_b1.00_bin5,task2,2025-10-13T22:05:05.857871,2025-10-13T22:05:05.857997,0.000118,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin5.csv'
BEPRO_TFR_a3.00_b1.00_bin5,task3,2025-10-13T22:05:05.858037,2025-10-13T22:05:05.858162,0.000119,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin5.csv'
BEPRO_TFR_a3.00_b1.00_bin6,task1,2025-10-13T22:05:05.858204,2025-10-13T22:05:05.858334,0.000123,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin6.csv'
BEPRO_TFR_a3.00_b1.00_bin6,task2,2025-10-13T22:05:05.858374,2025-10-13T22:05:05.858498,0.000117,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin6.csv'
BEPRO_TFR_a3.00_b1.00_bin6,task3,2025-10-13T22:05:05.858538,2025-10-13T22:05:05.858660,0.000116,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin6.csv'
BEPRO_TFR_a3.00_b1.00_bin7,task1,2025-10-13T22:05:05.858702,2025-10-13T22:05:05.858831,0.000122,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin7.csv'
BEPRO_TFR_a3.00_b1.00_bin7,task2,2025-10-13T22:05:05.858871,2025-10-13T22:05:05.858994,0.000116,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin7.csv'
BEPRO_TFR_a3.00_b1.00_bin7,task3,2025-10-13T22:05:05.859034,2025-10-13T22:05:05.859158,0.000117,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin7.csv'
BEPRO_TFR_a3.00_b1.00_bin8,task1,2025-10-13T22:05:05.859199,2025-10-13T22:05:05.859329,0.000123,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin8.csv'
BEPRO_TFR_a3.00_b1.00_bin8,task2,2025-10-13T22:05:05.859368,2025-10-13T22:05:05.859492,0.000116,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin8.csv'
BEPRO_TFR_a3.00_b1.00_bin8,task3,2025-10-13T22:05:05.859565,2025-10-13T22:05:05.859707,0.000134,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin8.csv'
BEPRO_TFR_a3.00_b1.00_bin9,task1,2025-10-13T22:05:05.859752,2025-10-13T22:05:05.859888,0.000129,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin9.csv'
BEPRO_TFR_a3.00_b1.00_bin9,task2,2025-10-13T22:05:05.859929,2025-10-13T22:05:05.860055,0.000119,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin9.csv'
BEPRO_TFR_a3.00_b1.00_bin9,task3,2025-10-13T22:05:05.860096,2025-10-13T22:05:05.860233,0.000130,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin9.csv'
BEPRO_TFR_a3.00_b1.00_bin10,task1,2025-10-13T22:05:05.860275,2025-10-13T22:05:05.860408,0.000126,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin10.csv'
BEPRO_TFR_a3.00_b1.00_bin10,task2,2025-10-13T22:05:05.860448,2025-10-13T22:05:05.860573,0.000118,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin10.csv'
BEPRO_TFR_a3.00_b1.00_bin10,task3,2025-10-13T22:05:05.860613,2025-10-13T22:05:05.860736,0.000116,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin10.csv'
