dataset,task,start_iso,end_iso,seconds,status,error
BEPRO_TFR_a3.00_b1.00,task1,2025-10-13T21:56:53.742893,2025-10-13T21:56:53.743704,0.000797,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00.csv'
BEPRO_TFR_a3.00_b1.00,task2,2025-10-13T21:56:53.743822,2025-10-13T21:56:53.744007,0.000174,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00.csv'
BEPRO_TFR_a3.00_b1.00,task3,2025-10-13T21:56:53.744225,2025-10-13T21:56:53.744395,0.000158,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00.csv'
BEPRO_TFR_a3.00_b1.00_bin1,task1,2025-10-13T21:56:53.744440,2025-10-13T21:56:53.744586,0.000137,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin1.csv'
BEPRO_TFR_a3.00_b1.00_bin1,task2,2025-10-13T21:56:53.744623,2025-10-13T21:56:53.744804,0.000173,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin1.csv'
BEPRO_TFR_a3.00_b1.00_bin1,task3,2025-10-13T21:56:53.744847,2025-10-13T21:56:53.744993,0.000138,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin1.csv'
BEPRO_TFR_a3.00_b1.00_bin2,task1,2025-10-13T21:56:53.745033,2025-10-13T21:56:53.745162,0.000122,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin2.csv'
BEPRO_TFR_a3.00_b1.00_bin2,task2,2025-10-13T21:56:53.745198,2025-10-13T21:56:53.745318,0.000113,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin2.csv'
BEPRO_TFR_a3.00_b1.00_bin2,task3,2025-10-13T21:56:53.745353,2025-10-13T21:56:53.745469,0.000109,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin2.csv'
BEPRO_TFR_a3.00_b1.00_bin3,task1,2025-10-13T21:56:53.745505,2025-10-13T21:56:53.745626,0.000114,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin3.csv'
BEPRO_TFR_a3.00_b1.00_bin3,task2,2025-10-13T21:56:53.745661,2025-10-13T21:56:53.745788,0.000121,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin3.csv'
BEPRO_TFR_a3.00_b1.00_bin3,task3,2025-10-13T21:56:53.745823,2025-10-13T21:56:53.745941,0.000110,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin3.csv'
BEPRO_TFR_a3.00_b1.00_bin4,task1,2025-10-13T21:56:53.745977,2025-10-13T21:56:53.746103,0.000119,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin4.csv'
BEPRO_TFR_a3.00_b1.00_bin4,task2,2025-10-13T21:56:53.746138,2025-10-13T21:56:53.746253,0.000109,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin4.csv'
BEPRO_TFR_a3.00_b1.00_bin4,task3,2025-10-13T21:56:53.746288,2025-10-13T21:56:53.746405,0.000111,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin4.csv'
BEPRO_TFR_a3.00_b1.00_bin5,task1,2025-10-13T21:56:53.746476,2025-10-13T21:56:53.746605,0.000121,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin5.csv'
BEPRO_TFR_a3.00_b1.00_bin5,task2,2025-10-13T21:56:53.746642,2025-10-13T21:56:53.746839,0.000189,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin5.csv'
BEPRO_TFR_a3.00_b1.00_bin5,task3,2025-10-13T21:56:53.746879,2025-10-13T21:56:53.747034,0.000148,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin5.csv'
BEPRO_TFR_a3.00_b1.00_bin6,task1,2025-10-13T21:56:53.747072,2025-10-13T21:56:53.747198,0.000120,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin6.csv'
BEPRO_TFR_a3.00_b1.00_bin6,task2,2025-10-13T21:56:53.747234,2025-10-13T21:56:53.747350,0.000109,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin6.csv'
BEPRO_TFR_a3.00_b1.00_bin6,task3,2025-10-13T21:56:53.747385,2025-10-13T21:56:53.747500,0.000108,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin6.csv'
BEPRO_TFR_a3.00_b1.00_bin7,task1,2025-10-13T21:56:53.747536,2025-10-13T21:56:53.747656,0.000113,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin7.csv'
BEPRO_TFR_a3.00_b1.00_bin7,task2,2025-10-13T21:56:53.747691,2025-10-13T21:56:53.748993,0.001234,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin7.csv'
BEPRO_TFR_a3.00_b1.00_bin7,task3,2025-10-13T21:56:53.749170,2025-10-13T21:56:53.749620,0.000435,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin7.csv'
BEPRO_TFR_a3.00_b1.00_bin8,task1,2025-10-13T21:56:53.749672,2025-10-13T21:56:53.749840,0.000159,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin8.csv'
BEPRO_TFR_a3.00_b1.00_bin8,task2,2025-10-13T21:56:53.749879,2025-10-13T21:56:53.750011,0.000124,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin8.csv'
BEPRO_TFR_a3.00_b1.00_bin8,task3,2025-10-13T21:56:53.750047,2025-10-13T21:56:53.750169,0.000114,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin8.csv'
BEPRO_TFR_a3.00_b1.00_bin9,task1,2025-10-13T21:56:53.750207,2025-10-13T21:56:53.750337,0.000122,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin9.csv'
BEPRO_TFR_a3.00_b1.00_bin9,task2,2025-10-13T21:56:53.750372,2025-10-13T21:56:53.750497,0.000118,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin9.csv'
BEPRO_TFR_a3.00_b1.00_bin9,task3,2025-10-13T21:56:53.750570,2025-10-13T21:56:53.750691,0.000113,error,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\azadp\\PycharmProjects\\TemporalRicci\\src\\RicciResults\\ricci_values\\BEPRO\\BEPRO_TFR_a3.00_b1.00_bin9.csv'
